1;m3522-625-4z2d-2;1;1;12/10/2020
2;r8453-834-67tj-5;2;1;12/10/2020
3;49796-633-htks-7;3;1;12/10/2020
4;72844-799-dk37-3;1;1;12/10/2020
5;43649-837-psaf-3;2;2;12/10/2020
6;r7425-928-xca4-2;3;2;12/10/2020
7;m9368-733-8rmp-2;1;2;12/10/2020
8;s3266-465-q8p2-7;2;2;12/10/2020
9;f4274-924-7aj9-4;3;3;12/10/2020
10;t8937-326-ik23-8;1;3;12/10/2020
11;d2382-393-ieo9-7;2;3;12/10/2020
12;d8666-357-mgim-5;3;3;12/10/2020
13;t3598-278-jqmq-6;1;4;12/10/2020
14;b8784-544-oyeu-7;2;4;12/10/2020
15;s2456-764-8p7q-2;3;4;12/10/2020
16;54743-375-x2m3-8;1;4;12/10/2020
17;k2528-955-evm4-4;2;5;12/10/2020
18;w9272-348-se2k-9;3;5;12/10/2020
19;k6842-757-f8s2-3;1;5;12/10/2020
20;38984-924-siso-9;2;5;12/10/2020
21;r9944-675-gihw-6;3;6;12/10/2020
22;g4644-675-gcr3-6;1;6;12/10/2020
23;j8528-577-xryi-4;2;6;12/10/2020
24;y6748-933-m4hy-8;3;6;12/10/2020
25;53852-625-z48k-6;1;6;12/10/2020
